n,seconds
1,0.0001540000
2,0.0004321000
3,0.0006689000
4,0.0009206000
5,0.0010726000
6,0.0010984000
7,0.0011362000
8,0.0012325000
9,0.0014048000
10,0.0018288000
11,0.0019355000
12,0.0018446000
13,0.0020000000
14,0.0021526000
15,0.0023160000
16,0.0024867000
17,0.0026884000
18,0.0030334000
19,0.0029856000
20,0.0033274000
21,0.0036036000
22,0.0034817000
23,0.0035661000
24,0.0037522000
25,0.0039006000
26,0.0041169000
27,0.0044435000
28,0.0043545000
29,0.0045405000
30,0.0048448000
31,0.0051190000
32,0.0074096000
33,0.0056931000
34,0.0055344000
35,0.0055484000
36,0.0060137000
37,0.0060958000
38,0.0061893000
39,0.0068935000
40,0.0062399000
41,0.0067488000
42,0.0069767000
43,0.0071171000
44,0.0071267000
45,0.0079824000
46,0.0076195000
47,0.0075189000
48,0.0078668000
49,0.0079574000
50,0.0081730000
51,0.0084697000
52,0.0087073000
53,0.0085036000
54,0.0085530000
55,0.0087326010
56,0.0088685000
57,0.0090508000
58,0.0095386000
59,0.0095358000
60,0.0097769000
61,0.0103779000
62,0.0098762000
63,0.0113973000
64,0.0104153000
65,0.0108168000
66,0.0104215000
67,0.0117751000
68,0.0111397000
69,0.0110496000
70,0.0115955000
71,0.0112625000
72,0.0123118000
73,0.0117145000
74,0.0121651000
75,0.0119070000
76,0.0126120000
77,0.0124230000
78,0.0131176000
79,0.0125273000
80,0.0135456000
81,0.0132231000
82,0.0132840000
83,0.0140912000
84,0.0138218010
85,0.0146528000
86,0.0143555000
87,0.0141164000
88,0.0140739000
89,0.0151204000
90,0.0147046000
91,0.0152222000
92,0.0149866000
93,0.0152630000
94,0.0150534000
95,0.0156768000
96,0.0154712000
97,0.0158242000
98,0.0154635000
99,0.0166145000
100,0.0158077000
101,0.0162306000
102,0.0166050000
103,0.0167787000
104,0.0164162000
105,0.0170132000
106,0.0173108000
107,0.0171591010
108,0.0172822000
109,0.0173949000
110,0.0179274000
111,0.0191486000
112,0.0187885000
113,0.0193856000
114,0.0184249000
115,0.0191953000
116,0.0195252000
117,0.0192551000
118,0.0196836000
119,0.0226754000
120,0.0228227000
121,0.0201693000
122,0.0203811000
123,0.0203477000
124,0.0202562000
125,0.0210410000
126,0.0216539000
127,0.0212784000
128,0.0217192000
129,0.0210103000
130,0.0210488000
131,0.0210078000
132,0.0210665000
133,0.0213581000
134,0.0213391000
135,0.0219860000
136,0.0218338000
137,0.0216317010
138,0.0236956000
139,0.0219356000
140,0.0235346000
141,0.0228749000
142,0.0226931000
143,0.0240252000
144,0.0221569000
145,0.0234339000
146,0.0229227000
147,0.0233670000
148,0.0229437000
149,0.0234673000
150,0.0244942000
151,0.0235971000
152,0.0248745000
153,0.0243311000
154,0.0255477000
155,0.0255360000
156,0.0250862000
157,0.0270265000
158,0.0247856000
159,0.0257205000
160,0.0255333000
161,0.0262401000
162,0.0286290010
163,0.0277978000
164,0.0260494000
165,0.0260903000
166,0.0265811000
167,0.0262393000
168,0.0266407000
169,0.0271174000
170,0.0274273000
171,0.0276793000
172,0.0276742000
173,0.0285585000
174,0.0286909000
175,0.0290700000
176,0.0290274000
177,0.0280987000
178,0.0282579000
179,0.0283260000
180,0.0286867000
181,0.0285062000
182,0.0290338000
183,0.0289849000
184,0.0288560010
185,0.0292452000
186,0.0289533000
187,0.0296133000
188,0.0292910000
189,0.0299913000
190,0.0308775000
191,0.0296896000
192,0.0305318000
193,0.0306600000
194,0.0304469000
195,0.0321575000
196,0.0304110000
197,0.0330061000
198,0.0318013000
199,0.0320338000
200,0.0317506000
